event_id,gov_disaster_id,gov_publication_date,gov_disaster_type,gov_action,gov_counties,gov_title,gov_source_url,matched_sources,sba_disaster_number,sba_state,sba_description,sba_incident_start_date,sba_incident_end_date,sba_declaration_date,sba_declaration_type,sba_status,sba_physical_deadline_date,sba_eidl_deadline_date,sba_fema_number,sba_county_type,sba_counties,sba_county_fips,sba_latitude,sba_longitude,fema_disaster_number,fema_declaration_type,fema_declaration_date,fema_incident_type,fema_declaration_title,fema_incident_begin_date,fema_incident_end_date,fema_designated_areas,fema_state_fips,fema_county_fips
EID_0001,24,2026-05-06,Flooding,Amends and Renews,Austin; Calhoun; Lamar; Palo Pinto; Parker; Victoria; Wise,"Governor Abbott Further Amends, Renews Severe Storm Disaster Proclamation In May 2026",https://gov.texas.gov/news/post/governor-abbott-further-amends-renews-severe-storm-disaster-proclamation-in-may-2026,Governor-SBA,TX-20081,TX,Severe Storms and Tornadoes,2026-04-24,2026-05-09,2026-05-07,SBA Declaration (Agency),Disaster Declared,2026-07-06,2027-02-08,,Primary; Contiguous,Cameron; Parker; Victoria; Wise; Calhoun; Cooke; Denton; DeWitt; Goliad; Hidalgo; Hood; Jack; Jackson; Johnson; Lavaca; Montague; Palo Pinto; Refugio; Tarrant; Willacy,48061; 48367; 48469; 48497; 48057; 48097; 48121; 48123; 48175; 48215; 48221; 48237; 48239; 48251; 48285; 48337; 48363; 48391; 48439; 48489,26.102923; 32.777096; 28.79637; 33.219095; 28.441719; 33.639196; 33.205132; 29.082346; 28.6607; 26.396384; 32.430149; 33.232302; 28.959802; 32.379654; 29.382578; 33.678356; 32.752204; 28.322116; 32.772119; 26.481861,-97.478958; -97.805905; -96.971198; -97.653997; -96.579574; -97.210343; -97.12114; -97.361654; -97.430415; -98.18099; -97.831677; -98.171104; -96.58908; -97.364906; -96.923633; -97.725014; -98.317967; -97.162472; -97.291224; -97.594731,,,,,,,,,,
EID_0002,77,2025-01-22,Drought,Amends and Renews,Aransas; Atascosa; Austin; Bandera; Bastrop; Bee; Bexar; Blanco; Brewster; Burnet; Caldwell; Calhoun; Cameron; Childress; Clay; Collingsworth; Colorado; Comal; Crane; Culberson; Donley; El Paso; Foard; Franklin; Frio; Gillespie; Goliad; Grayson; Guadalupe; Hall; Hardeman; Hays; Hidalgo; Hudspeth; Jeff Davis; Jim Wells; Karnes; Kendall; Kerr; Kleberg; Lampasas; Lavaca; Live Oak; Llano; Loving; Lubbock; Matagorda; Maverick; Medina; Midland; Mitchell; Montgomery; Nueces; Pecos; Presidio; Real; Reeves; San Patricio; Scurry; Terrell; Travis; Uvalde; Val Verde; Ward; Washington; Wharton; Wichita; Willacy; Williamson; Wilson; Winkler; Zapata,"Governor Abbott Amends, Renews Drought Disaster Proclamation In January 2025",https://gov.texas.gov/news/post/governor-abbott-amends-renews-drought-disaster-proclamation-in-january-2025,Governor-SBA,TX-20075,TX,Drought,2025-01-01,2025-12-30,2026-03-19,Secretary of Agriculture,Disaster Declared,,2026-11-19,,Primary; Contiguous,San Patricio; Aransas; Bee; Jim Wells; Live Oak; Nueces; Refugio,48409; 48007; 48025; 48249; 48297; 48355; 48391,28.011794; 28.122621; 28.416077; 27.733516; 28.351479; 27.739975; 28.322116,-97.517157; -96.967501; -97.742586; -98.090814; -98.126891; -97.516301; -97.162472,,,,,,,,,,
EID_0393,9,2026-07-16,Flooding,Amends and Renews,Austin; Bandera; Bexar; Burnet; Caldwell; Coke; Comal; Concho; Edwards; Gillespie; Guadalupe; Hamilton; Kendall; Kerr; Kimble; Kinney; Lampasas; Llano; Mason; Maverick; McCulloch; Menard; Real; Reeves; San Saba; Schleicher; Sutton; Tom Green; Travis; Uvalde; Williamson,"Governor Abbott Amends, Renews Flooding Disaster Proclamation In July 2026",https://gov.texas.gov/news/post/governor-abbott-amends-renews-flooding-disaster-proclamation-in-july-2026,Governor-FEMA,,,,,,,,,,,,,,,,,3649.0,EM,2026-07-18T00:00:00.000Z,Flood,FLOODING,2026-07-12,2026-08-04T00:00:00.000Z,Mason (County); Bandera (County); Crockett (County); Uvalde (County); Real (County); Live Oak (County); Kendall (County); Comal (County); Val Verde (County); Blanco (County); Atascosa (County); Wilson (County); Brewster (County); Menard (County); Webb (County); Kerr (County); Gillespie (County); Jim Wells (County); Schleicher (County); Maverick (County); Terrell (County); Frio (County); Duval (County); La Salle (County); Dimmit (County); Sutton (County); Medina (County); Kimble (County); Bexar (County); Zavala (County); Kinney (County); Edwards (County); Pecos (County),48,319; 19; 105; 463; 385; 297; 259; 91; 465; 31; 13; 493; 43; 327; 479; 265; 171; 249; 413; 323; 443; 163; 131; 283; 127; 435; 325; 267; 29; 507; 271; 137; 371
EID_0003,34,2026-03-09,Fire Weather Conditions,Amends and Renews,Andrews; Aransas; Archer; Armstrong; Atascosa; Austin; Bailey; Bandera; Bastrop; Baylor; Bee; Bexar; Blanco; Borden; Brewster; Briscoe; Brooks; Brown; Caldwell; Calhoun; Callahan; Cameron; Carson; Castro; Childress; Clay; Cochran; Coke; Coleman; Collingsworth; Colorado; Comal; Comanche; Concho; Cottle; Crane; Crockett; Crosby; Culberson; Dallam; Dawson; DeWitt; Deaf Smith; Dickens; Dimmit; Donley; Duval; Eastland; Ector; Edwards; El Paso; Erath; Fayette; Fisher; Floyd; Foard; Frio; Gaines; Garza; Gillespie; Glasscock; Goliad; Gonzales; Gray; Guadalupe; Hale; Hall; Hansford; Hardeman; Hartley; Haskell; Hays; Hemphill; Hidalgo; Hockley; Howard; Hudspeth; Hutchinson; Irion; Jack; Jackson; Jeff Davis; Jim Hogg; Jim Wells; Jones; Karnes; Kendall; Kenedy; Kent; Kerr; Kimble; King; Kinney; Kleberg; Knox; La Salle; Lamb; Lampasas; Lavaca; Lipscomb; Live Oak; Llano; Loving; Lubbock; Lynn; Martin; Mason; Matagorda; Maverick; McCulloch; McMullen; Medina; Menard; Midland; Mills; Mitchell; Moore; Motley; Nolan; Nueces; Ochiltree; Oldham; Palo Pinto; Parmer; Pecos; Potter; Presidio; Randall; Reagan; Real; Reeves; Refugio; Roberts; Runnels; San Patricio; San Saba; Schleicher; Scurry; Shackelford; Sherman; Smith; Starr; Stephens; Sterling; Stonewall; Sutton; Swisher; Taylor; Terrell; Terry; Throckmorton; Tom Green; Travis; Upton; Uvalde; Val Verde; Victoria; Ward; Webb; Wharton; Wheeler; Wichita; Wilbarger; Willacy; Wilson; Winkler; Yoakum; Young; Zapata; Zavala,"Governor Abbott Amends, Renews Fire Weather Conditions Disaster Proclamation In March 2026",https://gov.texas.gov/news/post/governor-abbott-amends-renews-fire-weather-conditions-disaster-proclamation-in-march-2026,Governor-FEMA,,,,,,,,,,,,,,,,,5619.0,FM,2026-02-18T00:00:00.000Z,Fire,8 BALL FIRE,2026-02-17,,Donley (County); Armstrong (County),48,129; 11
EID_0004,60,2025-07-22,Flooding,Amends and Renews,Austin; Bandera; Bexar; Burnet; Caldwell; Coke; Comal; Concho; Edwards; Gillespie; Guadalupe; Hamilton; Kendall; Kerr; Kimble; Kinney; Lampasas; Llano; Mason; Maverick; McCulloch; Menard; Real; Reeves; San Saba; Schleicher; Sutton; Tom Green; Travis; Uvalde; Williamson,"Governor Abbott Amends, Renews Flooding Disaster Proclamation In July 2025",https://gov.texas.gov/news/post/governor-abbott-amends-renews-flooding-disaster-proclamation-in-july-2025,Governor-FEMA,,,,,,,,,,,,,,,,,4879.0,DR,2025-07-06T00:00:00.000Z,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2025-07-02,2025-07-18T00:00:00.000Z,Burnet (County); Kendall (County); Reeves (County); Lampasas (County); Real (County); Tom Green (County); Mason (County); Menard (County); McCulloch (County); Guadalupe (County); Schleicher (County); Hamilton (County); Sutton (County); San Saba (County); Llano (County); Edwards (County); Kimble (County); Uvalde (County); Concho (County); Travis (County); Kerr (County); Coke (County); Williamson (County),48,53; 259; 389; 281; 385; 451; 319; 327; 307; 187; 413; 193; 435; 411; 299; 137; 267; 463; 95; 453; 265; 81; 491
EID_0005,73,2025-03-04,Fire Weather Conditions,Amends and Renews,Anderson; Andrews; Angelina; Aransas; Archer; Armstrong; Atascosa; Austin; Bailey; Bandera; Bastrop; Baylor; Bee; Bell; Bexar; Blanco; Borden; Bosque; Brazos; Brewster; Briscoe; Brooks; Brown; Burleson; Burnet; Caldwell; Calhoun; Callahan; Cameron; Camp; Carson; Castro; Cherokee; Childress; Clay; Cochran; Coke; Coleman; Collin; Collingsworth; Colorado; Comal; Comanche; Concho; Cooke; Coryell; Cottle; Crane; Crockett; Crosby; Culberson; Dallam; Dallas; Dawson; DeWitt; Deaf Smith; Delta; Denton; Dickens; Dimmit; Donley; Duval; Eastland; Ector; Edwards; El Paso; Ellis; Erath; Falls; Fannin; Fayette; Fisher; Floyd; Foard; Fort Bend; Franklin; Freestone; Frio; Gaines; Garza; Gillespie; Glasscock; Goliad; Gonzales; Gray; Grayson; Gregg; Grimes; Guadalupe; Hale; Hall; Hamilton; Hansford; Hardeman; Harris; Hartley; Haskell; Hays; Hemphill; Henderson; Hidalgo; Hill; Hockley; Hood; Hopkins; Houston; Howard; Hudspeth; Hunt; Hutchinson; Irion; Jack; Jackson; Jeff Davis; Jim Hogg; Jim Wells; Johnson; Jones; Karnes; Kaufman; Kendall; Kenedy; Kent; Kerr; Kimble; King; Kinney; Kleberg; Knox; La Salle; Lamar; Lamb; Lampasas; Lavaca; Lee; Leon; Limestone; Lipscomb; Live Oak; Llano; Loving; Lubbock; Lynn; Madison; Martin; Mason; Matagorda; Maverick; McCulloch; McLennan; McMullen; Medina; Menard; Midland; Milam; Mills; Mitchell; Montague; Montgomery; Moore; Morris; Motley; Nacogdoches; Navarro; Nolan; Nueces; Ochiltree; Oldham; Palo Pinto; Parker; Parmer; Pecos; Polk; Potter; Presidio; Rains; Randall; Reagan; Real; Red River; Reeves; Refugio; Roberts; Robertson; Rockwall; Runnels; Rusk; San Jacinto; San Patricio; San Saba; Schleicher; Scurry; Shackelford; Sherman; Smith; Somervell; Starr; Stephens; Sterling; Stonewall; Sutton; Swisher; Tarrant; Taylor; Terrell; Terry; Throckmorton; Titus; Tom Green; Travis; Trinity; Upshur; Upton; Uvalde; Val Verde; Van Zandt; Victoria; Walker; Waller; Ward; Washington; Webb; Wharton; Wheeler; Wichita; Wilbarger; Willacy; Williamson; Wilson; Winkler; Wise; Wood; Yoakum; Young; Zapata; Zavala,"Governor Abbott Amends, Renews Wildfire Disaster Proclamation In March 2025",https://gov.texas.gov/news/post/governor-abbott-amends-renews-wildfire-disaster-proclamation-in-march-2025,Governor-FEMA,,,,,,,,,,,,,,,,,5553.0,FM,2025-03-05T00:00:00.000Z,Fire,DUKE FIRE,2025-03-04,2025-03-05T00:00:00.000Z,Atascosa (County); Bexar (County),48,13; 29
EID_0006,105,2024-07-06,Hurricane Beryl,Amends,Anderson; Angelina; Austin; Bastrop; Bell; Bowie; Brazoria; Brazos; Burleson; Caldwell; Camp; Cass; Chambers; Cherokee; Collin; Colorado; Comal; Dallas; Delta; Ellis; Falls; Fannin; Fayette; Fort Bend; Franklin; Freestone; Galveston; Grayson; Gregg; Grimes; Guadalupe; Hardin; Harris; Harrison; Hays; Henderson; Hill; Hopkins; Houston; Hunt; Jasper; Jefferson; Kaufman; Lamar; Lee; Leon; Liberty; Limestone; Madison; Marion; McLennan; Milam; Montgomery; Morris; Nacogdoches; Navarro; Newton; Orange; Panola; Polk; Rains; Red River; Robertson; Rockwall; Rusk; Sabine; San Augustine; San Jacinto; Shelby; Smith; Titus; Travis; Trinity; Tyler; Upshur; Van Zandt; Walker; Waller; Washington; Williamson; Wood,Acting Governor Dan Patrick Further Amends Hurricane Beryl Disaster Proclamation In July 2024,https://gov.texas.gov/news/post/acting-governor-dan-patrick-further-amends-hurricane-beryl-disaster-proclamation-in-july-2024,Governor-FEMA,,,,,,,,,,,,,,,,,4798.0,DR,2024-07-09T00:00:00.000Z,Hurricane,HURRICANE BERYL,2024-07-05,2024-07-09T00:00:00.000Z,Cameron (County); Brazoria (County); Galveston (County); Lavaca (County); Houston (County); Angelina (County); Newton (County); Goliad (County); Polk (County); Harris (County); Freestone (County); Fort Bend (County); Grimes (County); Harrison (County); Jasper (County); Hardin (County); Matagorda (County); Bowie (County); Calhoun (County); Austin (County); Nueces (County); Kleberg (County); Anderson (County); Colorado (County); Cherokee (County); Hidalgo (County); Sabine (County); Panola (County); Tyler (County); San Augustine (County); Burleson (County); Brazos (County); Orange (County); Willacy (County); Madison (County); Shelby (County); Robertson (County); Upshur (County); San Patricio (County); Gregg (County); Morris (County); Jackson (County); Wharton (County); Refugio (County); Milam (County); Lee (County); San Jacinto (County); Leon (County); Aransas (County); Chambers (County); DeWitt (County); Trinity (County); Waller (County); Washington (County); Fayette (County); Cass (County); Kenedy (County); Marion (County); Montgomery (County); Nacogdoches (County); Webb (County); Victoria (County); Walker (County); Rusk (County); Liberty (County); Jefferson (County); Camp (County),48,61; 39; 167; 285; 225; 5; 351; 175; 373; 201; 161; 157; 185; 203; 241; 199; 321; 37; 57; 15; 355; 273; 1; 89; 73; 215; 403; 365; 457; 405; 51; 41; 361; 489; 313; 419; 395; 459; 409; 183; 343; 239; 481; 391; 331; 287; 407; 289; 7; 71; 123; 455; 473; 477; 149; 67; 261; 315; 339; 347; 479; 469; 471; 401; 291; 245; 63
EID_0006,106,2024-07-05,Hurricane Beryl,Amends,Aransas; Austin,Acting Governor Dan Patrick Amends Hurricane Beryl Disaster Proclamation In July 2024,https://gov.texas.gov/news/post/acting-governor-dan-patrick-amends-hurricane-beryl-disaster-proclamation,Governor-FEMA,,,,,,,,,,,,,,,,,4798.0,DR,2024-07-09T00:00:00.000Z,Hurricane,HURRICANE BERYL,2024-07-05,2024-07-09T00:00:00.000Z,Cameron (County); Brazoria (County); Galveston (County); Lavaca (County); Houston (County); Angelina (County); Newton (County); Goliad (County); Polk (County); Harris (County); Freestone (County); Fort Bend (County); Grimes (County); Harrison (County); Jasper (County); Hardin (County); Matagorda (County); Bowie (County); Calhoun (County); Austin (County); Nueces (County); Kleberg (County); Anderson (County); Colorado (County); Cherokee (County); Hidalgo (County); Sabine (County); Panola (County); Tyler (County); San Augustine (County); Burleson (County); Brazos (County); Orange (County); Willacy (County); Madison (County); Shelby (County); Robertson (County); Upshur (County); San Patricio (County); Gregg (County); Morris (County); Jackson (County); Wharton (County); Refugio (County); Milam (County); Lee (County); San Jacinto (County); Leon (County); Aransas (County); Chambers (County); DeWitt (County); Trinity (County); Waller (County); Washington (County); Fayette (County); Cass (County); Kenedy (County); Marion (County); Montgomery (County); Nacogdoches (County); Webb (County); Victoria (County); Walker (County); Rusk (County); Liberty (County); Jefferson (County); Camp (County),48,61; 39; 167; 285; 225; 5; 351; 175; 373; 201; 161; 157; 185; 203; 241; 199; 321; 37; 57; 15; 355; 273; 1; 89; 73; 215; 403; 365; 457; 405; 51; 41; 361; 489; 313; 419; 395; 459; 409; 183; 343; 239; 481; 391; 331; 287; 407; 289; 7; 71; 123; 455; 473; 477; 149; 67; 261; 315; 339; 347; 479; 469; 471; 401; 291; 245; 63
EID_0007,119,2024-05-26,Flooding,Amends,Austin; Collin; Cooke; Denton; Montague,Governor Abbott Adds Counties To Severe Weather Disaster Declaration In May 2024,https://gov.texas.gov/news/post/governor-abbott-adds-counties-to-severe-weather-disaster-declaration-in-may-2024,Governor-FEMA,,,,,,,,,,,,,,,,,4781.0,DR,2024-05-17T00:00:00.000Z,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",2024-04-26,2024-06-05T00:00:00.000Z,Robertson (County); Morris (County); Cass (County); Sterling (County); Tyler (County); Milam (County); Kaufman (County); Liberty (County); Delta (County); Austin (County); Rains (County); Montgomery (County); Bosque (County); Coke (County); Harris (County); Panola (County); Lamar (County); Terrell (County); Lynn (County); Bell (County); Smith (County); Caldwell (County); Navarro (County); Hamilton (County); Hockley (County); Brown (County); Houston (County); Waller (County); Shelby (County); Cherokee (County); Montague (County); Jones (County); Lampasas (County); Calhoun (County); Rockwall (County); Concho (County); Cooke (County); Anderson (County); Ellis (County); Hopkins (County); Gonzales (County); Jasper (County); Baylor (County); San Saba (County); Van Zandt (County); Walker (County); Hill (County); Trinity (County); Sabine (County); Coryell (County); McCulloch (County); Cochran (County); Rusk (County); Lee (County); Washington (County); Newton (County); Dallas (County); Hays (County); Nacogdoches (County); Leon (County); Collin (County); Clay (County); Titus (County); Limestone (County); Red River (County); Henderson (County); Coleman (County); Fannin (County); Blanco (County); Bailey (County); Hardin (County); San Jacinto (County); Eastland (County); Denton (County); Freestone (County); Bowie (County); Guadalupe (County); Grimes (County); Falls (County); Madison (County); Mills (County); Polk (County); San Augustine (County),48,395; 343; 67; 431; 457; 331; 257; 291; 119; 15; 379; 339; 35; 81; 201; 365; 277; 443; 305; 27; 423; 55; 349; 193; 219; 49; 225; 473; 419; 73; 337; 253; 281; 57; 397; 95; 97; 1; 139; 223; 177; 241; 23; 411; 467; 471; 217; 455; 403; 99; 307; 79; 401; 287; 477; 351; 113; 209; 347; 289; 85; 77; 449; 293; 387; 213; 83; 147; 31; 17; 199; 407; 133; 121; 161; 37; 187; 185; 145; 313; 333; 373; 405
EID_0007,120,2024-05-20,Flooding,Amends,Austin; Calhoun; Delta; Jones; Lamar,Governor Abbott Further Amends Severe Weather Disaster Declaration In May 2024,https://gov.texas.gov/news/post/governor-abbott-further-amends-severe-weather-disaster-declaration-in-may-2024,Governor-FEMA,,,,,,,,,,,,,,,,,4781.0,DR,2024-05-17T00:00:00.000Z,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",2024-04-26,2024-06-05T00:00:00.000Z,Robertson (County); Morris (County); Cass (County); Sterling (County); Tyler (County); Milam (County); Kaufman (County); Liberty (County); Delta (County); Austin (County); Rains (County); Montgomery (County); Bosque (County); Coke (County); Harris (County); Panola (County); Lamar (County); Terrell (County); Lynn (County); Bell (County); Smith (County); Caldwell (County); Navarro (County); Hamilton (County); Hockley (County); Brown (County); Houston (County); Waller (County); Shelby (County); Cherokee (County); Montague (County); Jones (County); Lampasas (County); Calhoun (County); Rockwall (County); Concho (County); Cooke (County); Anderson (County); Ellis (County); Hopkins (County); Gonzales (County); Jasper (County); Baylor (County); San Saba (County); Van Zandt (County); Walker (County); Hill (County); Trinity (County); Sabine (County); Coryell (County); McCulloch (County); Cochran (County); Rusk (County); Lee (County); Washington (County); Newton (County); Dallas (County); Hays (County); Nacogdoches (County); Leon (County); Collin (County); Clay (County); Titus (County); Limestone (County); Red River (County); Henderson (County); Coleman (County); Fannin (County); Blanco (County); Bailey (County); Hardin (County); San Jacinto (County); Eastland (County); Denton (County); Freestone (County); Bowie (County); Guadalupe (County); Grimes (County); Falls (County); Madison (County); Mills (County); Polk (County); San Augustine (County),48,395; 343; 67; 431; 457; 331; 257; 291; 119; 15; 379; 339; 35; 81; 201; 365; 277; 443; 305; 27; 423; 55; 349; 193; 219; 49; 225; 473; 419; 73; 337; 253; 281; 57; 397; 95; 97; 1; 139; 223; 177; 241; 23; 411; 467; 471; 217; 455; 403; 99; 307; 79; 401; 287; 477; 351; 113; 209; 347; 289; 85; 77; 449; 293; 387; 213; 83; 147; 31; 17; 199; 407; 133; 121; 161; 37; 187; 185; 145; 313; 333; 373; 405
