disaster_number,state,disaster_description,incident_start_date,incident_end_date,declaration_date,declaration_type,status,physical_deadline_date,eidl_deadline_date,fema_number,county_type,county_name,county_fips,latitude,longitude,event_id
TX-20083,TX,Drought,2026-04-28,,2026-05-18,Secretary of Agriculture,Disaster Declared,,2027-01-19,,Primary,Sherman,48421,36.278593,-101.899265,EID_0801
TX-20083,TX,Drought,2026-04-28,,2026-05-18,Secretary of Agriculture,Disaster Declared,,2027-01-19,,Contiguous,Dallam,48111,36.28637,-102.59402,EID_0801
TX-20083,TX,Drought,2026-04-28,,2026-05-18,Secretary of Agriculture,Disaster Declared,,2027-01-19,,Contiguous,Hansford,48195,36.272847,-101.35693,EID_0801
TX-20083,TX,Drought,2026-04-28,,2026-05-18,Secretary of Agriculture,Disaster Declared,,2027-01-19,,Contiguous,Hartley,48205,35.840244,-102.610047,EID_0801
TX-20083,TX,Drought,2026-04-28,,2026-05-18,Secretary of Agriculture,Disaster Declared,,2027-01-19,,Contiguous,Hutchinson,48233,35.837047,-101.362746,EID_0801
TX-20083,TX,Drought,2026-04-28,,2026-05-18,Secretary of Agriculture,Disaster Declared,,2027-01-19,,Contiguous,Moore,48341,35.835676,-101.890502,EID_0801
TX-20081,TX,Severe Storms and Tornadoes,2026-04-24,2026-05-09,2026-05-07,SBA Declaration (Agency),Disaster Declared,2026-07-06,2027-02-08,,Primary,Cameron,48061,26.102923,-97.478958,EID_0001
TX-20081,TX,Severe Storms and Tornadoes,2026-04-24,2026-05-09,2026-05-07,SBA Declaration (Agency),Disaster Declared,2026-07-06,2027-02-08,,Primary,Parker,48367,32.777096,-97.805905,EID_0001
TX-20081,TX,Severe Storms and Tornadoes,2026-04-24,2026-05-09,2026-05-07,SBA Declaration (Agency),Disaster Declared,2026-07-06,2027-02-08,,Primary,Victoria,48469,28.79637,-96.971198,EID_0001
TX-20081,TX,Severe Storms and Tornadoes,2026-04-24,2026-05-09,2026-05-07,SBA Declaration (Agency),Disaster Declared,2026-07-06,2027-02-08,,Primary,Wise,48497,33.219095,-97.653997,EID_0001
TX-20081,TX,Severe Storms and Tornadoes,2026-04-24,2026-05-09,2026-05-07,SBA Declaration (Agency),Disaster Declared,2026-07-06,2027-02-08,,Contiguous,Calhoun,48057,28.441719,-96.579574,EID_0001
TX-20081,TX,Severe Storms and Tornadoes,2026-04-24,2026-05-09,2026-05-07,SBA Declaration (Agency),Disaster Declared,2026-07-06,2027-02-08,,Contiguous,Cooke,48097,33.639196,-97.210343,EID_0001
TX-20081,TX,Severe Storms and Tornadoes,2026-04-24,2026-05-09,2026-05-07,SBA Declaration (Agency),Disaster Declared,2026-07-06,2027-02-08,,Contiguous,Denton,48121,33.205132,-97.12114,EID_0001
TX-20081,TX,Severe Storms and Tornadoes,2026-04-24,2026-05-09,2026-05-07,SBA Declaration (Agency),Disaster Declared,2026-07-06,2027-02-08,,Contiguous,DeWitt,48123,29.082346,-97.361654,EID_0001
TX-20081,TX,Severe Storms and Tornadoes,2026-04-24,2026-05-09,2026-05-07,SBA Declaration (Agency),Disaster Declared,2026-07-06,2027-02-08,,Contiguous,Goliad,48175,28.6607,-97.430415,EID_0001
TX-20081,TX,Severe Storms and Tornadoes,2026-04-24,2026-05-09,2026-05-07,SBA Declaration (Agency),Disaster Declared,2026-07-06,2027-02-08,,Contiguous,Hidalgo,48215,26.396384,-98.18099,EID_0001
TX-20081,TX,Severe Storms and Tornadoes,2026-04-24,2026-05-09,2026-05-07,SBA Declaration (Agency),Disaster Declared,2026-07-06,2027-02-08,,Contiguous,Hood,48221,32.430149,-97.831677,EID_0001
TX-20081,TX,Severe Storms and Tornadoes,2026-04-24,2026-05-09,2026-05-07,SBA Declaration (Agency),Disaster Declared,2026-07-06,2027-02-08,,Contiguous,Jack,48237,33.232302,-98.171104,EID_0001
TX-20081,TX,Severe Storms and Tornadoes,2026-04-24,2026-05-09,2026-05-07,SBA Declaration (Agency),Disaster Declared,2026-07-06,2027-02-08,,Contiguous,Jackson,48239,28.959802,-96.58908,EID_0001
TX-20081,TX,Severe Storms and Tornadoes,2026-04-24,2026-05-09,2026-05-07,SBA Declaration (Agency),Disaster Declared,2026-07-06,2027-02-08,,Contiguous,Johnson,48251,32.379654,-97.364906,EID_0001
TX-20081,TX,Severe Storms and Tornadoes,2026-04-24,2026-05-09,2026-05-07,SBA Declaration (Agency),Disaster Declared,2026-07-06,2027-02-08,,Contiguous,Lavaca,48285,29.382578,-96.923633,EID_0001
TX-20081,TX,Severe Storms and Tornadoes,2026-04-24,2026-05-09,2026-05-07,SBA Declaration (Agency),Disaster Declared,2026-07-06,2027-02-08,,Contiguous,Montague,48337,33.678356,-97.725014,EID_0001
TX-20081,TX,Severe Storms and Tornadoes,2026-04-24,2026-05-09,2026-05-07,SBA Declaration (Agency),Disaster Declared,2026-07-06,2027-02-08,,Contiguous,Palo Pinto,48363,32.752204,-98.317967,EID_0001
TX-20081,TX,Severe Storms and Tornadoes,2026-04-24,2026-05-09,2026-05-07,SBA Declaration (Agency),Disaster Declared,2026-07-06,2027-02-08,,Contiguous,Refugio,48391,28.322116,-97.162472,EID_0001
TX-20081,TX,Severe Storms and Tornadoes,2026-04-24,2026-05-09,2026-05-07,SBA Declaration (Agency),Disaster Declared,2026-07-06,2027-02-08,,Contiguous,Tarrant,48439,32.772119,-97.291224,EID_0001
TX-20081,TX,Severe Storms and Tornadoes,2026-04-24,2026-05-09,2026-05-07,SBA Declaration (Agency),Disaster Declared,2026-07-06,2027-02-08,,Contiguous,Willacy,48489,26.481861,-97.594731,EID_0001
OK-20038,TX,Drought,2026-04-21,,2026-05-06,Secretary of Agriculture,Disaster Declared,,2027-01-06,,Contiguous,Dallam,48111,36.28637,-102.59402,EID_0802
OK-20038,TX,Drought,2026-04-21,,2026-05-06,Secretary of Agriculture,Disaster Declared,,2027-01-06,,Contiguous,Hemphill,48211,35.815956,-100.27921,EID_0802
OK-20038,TX,Drought,2026-04-21,,2026-05-06,Secretary of Agriculture,Disaster Declared,,2027-01-06,,Contiguous,Lipscomb,48295,36.2802,-100.272683,EID_0802
OK-20038,TX,Drought,2026-04-21,,2026-05-06,Secretary of Agriculture,Disaster Declared,,2027-01-06,,Contiguous,Sherman,48421,36.278593,-101.899265,EID_0802
NM-20024,TX,Drought,2026-04-14,,2026-06-01,Secretary of Agriculture,Disaster Declared,,2027-02-01,,Contiguous,Dallam,48111,36.28637,-102.59402,EID_0803
NM-20024,TX,Drought,2026-04-14,,2026-06-01,Secretary of Agriculture,Disaster Declared,,2027-02-01,,Contiguous,Hartley,48205,35.840244,-102.610047,EID_0803
